Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Isla Verde Spa Relaxation Massage Course,www.udemy.com/course/award-winning-isla-verde-spa-relaxation-massage-masterclass/,Mark Perren-Jones,194.99,11.99,"4.6(1,527 ratings)",Health & Fitness,General Health,Massage,"9,367",English,This is a Complete Massage Course That Will Teach You Everything That You Need to Know to Give Amazing Massages,12/2019,01/01/20
Gua Sha- A Tool Assisted Massage Technique,www.udemy.com/course/gua-sha-an-ancient-tool-assisted-massage-technique-for-pain/,Mark Perren-Jones,199.99,11.99,4.7(592 ratings),"Health & Fitness
 ",General Health,Massage,"3,145",English,"Gua Sha Massage-Learn how to treat your own pain, your family or your massage clients with this amazing technique !",12/2019,01/01/20
"Massage Professional: 15 Hours, 11 Accredited Certificates",www.udemy.com/course/ebodhimassage/,The Ebodhi Team,0.0,49.99,4.5(105 ratings),Health & Fitness,Other,Massage,513,English,"Become a Top-Rate Pro with an International Fusion Skill Set: Hawaiian, Thai Yoga, Hot Stone, Swedish, Indian & More",12/2019,01/01/20
Thai Foot Reflexology Massage-Basic and Advanced Course,www.udemy.com/course/thai-foot-reflexology-massage-course/,Mark Perren-Jones,199.99,11.99,4.6(545 ratings),Health & Fitness,General Health,Massage,"3,828",English,Start doing World Famous Thai foot reflexology massage today and people will LOVE your reflexology treatments.,12/2019,01/01/20
Lomi Lomi Massage-Learn Hawaii's Famous Massage Style.,www.udemy.com/course/isla-verde-spa-lomi-lomi-hawaiian-massage-course/,Mark Perren-Jones,194.99,11.99,4.6(558 ratings),Health & Fitness,General Health,Massage,"2,958",English,People will LOVE your Lomi Lomi massages. Learn this World famous massage style and give people incredible massages,12/2019,01/01/20
Chair Massage-Learn How to Give Great Back and Neck Massages,www.udemy.com/course/chair-massage-no-massage-chair-required-fully-accredited/,Mark Perren-Jones,194.99,11.99,4.6(168 ratings),Health & Fitness,General Health,Massage,848,English,"You will be able to give people incredible chair massages effortlessly, and you do not need a massage chair (3 CEU's)",12/2019,01/01/20
Indian Head Massage Diploma Course: Relax Your Way To Bliss!,www.udemy.com/course/indian-head-massage-relax-your-way-to-bliss/,Dr Karen E Wells,94.99,11.99,4.3(225 ratings),Personal Development,Career Development,Massage,"1,371",English,Fully Accredited Course! Learn the massage techniques of Indian Head Massage to take your clients into total relaxation!,11/2019,01/01/20
Kinesio Taping For Massage Therapists-Incredible Results,www.udemy.com/course/kinesio-taping-for-massage-therapists-get-maximal-results/,Mark Perren-Jones,194.99,11.99,4.6(77 ratings),Health & Fitness,General Health,Massage,491,English,"Start using Kinesio tape in your massage clinic TODAY and see your massage clients get so much better, faster.",12/2019,01/01/20
Feminine Intimate Massage for Better Sex & Intimacy,www.udemy.com/course/feminine-massage/,Liana .,94.99,11.99,4.4(171 ratings),Health & Fitness,Other,Massage,"1,407",English,A comprehensive course on giving intimate (genital) touch to a woman.,6/2019,01/01/20
Acupressure and Meridian Massage Techniques (CEU),www.udemy.com/course/acupressure-and-meridian-massage-for-massage-therapists/,Jeffrey Chand,69.99,17.50,4.6(367 ratings),Health & Fitness,General Health,Acupressure,"1,362",English,Enhance your treatments with simple acupressure and meridian massage.,10/2016,01/01/20
Acupressure Massage- Treat Your Health Conditions Naturally,www.udemy.com/course/acupressure-massage-using-the-most-potent-points-on-the-body/,Mark Perren-Jones,199.99,11.99,4.6(165 ratings),Health & Fitness,General Health,Massage,"1,598",English,Learn how to use acupressure massage to become healthier by treating your own health conditions naturally!,12/2019,01/01/20
How to Give a Woman a Sensual Massage / Couples Massage,www.udemy.com/course/climax-university-sensual-massage/,Elena Pellicano,99.99,11.99,4.0(162 ratings),Health & Fitness,Other,Massage,936,English,Couples Massage taught by Professional Sexologist focusing on Women's body. Additional Aroma Therapy and Essential Oils,3/2018,01/01/20
Massage Therapy,www.udemy.com/course/massage-therapy-l/,Academy of Film Fashion and Design,19.99,11.99,4.4(96 ratings),Health & Fitness,General Health,Art Therapy,515,English,Massage Therapy Course 101,10/2019,01/01/20
"Learn Massage For Lovers, Friends And Family",www.udemy.com/course/learn-massage-for-lovers-friends-and-family/,Shama Kern,34.99,11.99,4.2(182 ratings),Health & Fitness,General Health,Massage,"1,686",English,"Discover how easy massage techniques can be a path to happier relationships, better marriages and grateful friends.",12/2012,01/01/20
Feminine Chest Massage for Better Sex & Intimacy,www.udemy.com/course/breasts-massage/,Liana .,99.99,11.99,4.3(82 ratings),Health & Fitness,Other,Massage,732,English,A comprehensive course on giving intimate touch to a woman's breasts.,6/2019,01/01/20
Aromatherapy For Massage Therapists,www.udemy.com/course/aromatherapy-for-massage-therapists/,Mark Perren-Jones,194.99,11.99,5.0(7 ratings),Health & Fitness,General Health,Massage,114,English,Transform your massage business by using aromatherapy essential oils and see incredible results with your clients!,12/2019,01/01/20
Relax Couples Massage Class,www.udemy.com/course/relax-couples-massage-class/,Michael Weir,59.99,13.79,4.4(58 ratings),Personal Development,Parenting & Relationships,Massage,"1,111",English,Learn how the give your partner the best massage of their lives in the comfort of your own home,4/2017,01/01/20
Male Intimate Massage for Better Sex & Intimacy,www.udemy.com/course/male-genital-massage/,Liana .,99.99,12.59,4.2(99 ratings),Health & Fitness,Other,Massage,768,English,A comprehensive course on giving intimate (genital) touch to a man.,6/2019,01/01/20
"Massage Course, Myofascial Energetic Release, Deep Bodywork",www.udemy.com/course/myofascial-energetic-release-bodywork-massage/,Eryk Dobosz,19.99,11.39,4.7(140 ratings),Health & Fitness,General Health,Massage,"2,876",English,"This massage training teach how to develop the knowledge, skills and confidence to give great massage to your clients.",6/2015,01/01/20
"Master Mixed Massages: Thai, Swedish, Deep, Foot & More",www.udemy.com/course/massagemadeeasy/,Ebodhi Team,19.99,11.99,4.5(49 ratings),Health & Fitness,Other,Massage,373,English,"Relaxing Massages From Around The World: Hawaiian Lomilomi, Indian Head, Hand, Abdomen & Leg Massage + a Pro 'Back Rub'.",12/2019,01/01/20
"Diplomas: Indian Head, Hand & Foot Massage (2 Certificates)",www.udemy.com/course/indian-head-hand-and-foot-massage/,Ebodhi Team,19.99,11.39,4.6(42 ratings),Health & Fitness,Other,Massage,187,English,"Beautiful Music, Professional Voice-Over & a Moroccan Beach. Master these Beautiful Massages, Swiftly & Smoothly.",12/2019,01/01/20
Swedish Full-Body & Hawaiian Lomilomi Massage,www.udemy.com/course/swedish-massage/,Ebodhi Team,19.99,11.39,4.6(43 ratings),Health & Fitness,Other,Massage,224,English,"Two Pro Certificates: Narrated, Real-Time Demonstrations on the Beautiful Shores of Morocco",12/2019,01/01/20
Geriatric Massage Fundamentals,www.udemy.com/course/geriatric-massage-fundamentals/,Irene Meiller,49.99,11.39,4.2(114 ratings),Health & Fitness,Other,Massage,429,English,"Give From Your Heart, Not From Your Hands",1/2018,01/01/20
Whole Body How to Massage Course by Brian Cavill,www.udemy.com/course/whole-body-how-to-massage-course-by-brian-cavill/,Brian Cavill,29.99,11.39,4.5(85 ratings),Health & Fitness,Other,Massage,407, English,Complete whole body massage course by Brian Cavill,3/2016,01/01/20
Professional Qualification Indian Head Massage course,www.udemy.com/course/indian-head-massage-for-beginners/,Deborah Casey,109.99,11.39,3.4(35 ratings),Personal Development,Career Development,Massage,199,English,Natural and Holistic Therapy for vitality and well-being,12/2019,01/01/20
"Thai Deep-Tissue Massage: Hands-Free, Body-Weight Techniques",www.udemy.com/course/effortlessmassage/,The Ebodhi Team,0.0,24.99,5.0(1 rating),Health & Fitness,Other,Massage,13,English,"Low-Effort, Strain-Free, Deeply Therapeutic Techniques Designed to Destroy Tension, Save Your Energy & Avoid Fatigue",11/2019,01/01/20
Anti-Cellulite cupping body massage with Certificate,www.udemy.com/course/anti-cellulite-cupping-body-massage/,Beata Zakrzewska,34.99,11.39,4.2(9 ratings),Health & Fitness,General Health,Massage,29,English,You will learn how to become a successful Anti-Cellulite cupping massage therapist,11/2019,01/01/20
Professional Qualified Body massage - Swedish Style,www.udemy.com/course/swedish-body-massage/,Deborah Casey,199.99,11.39,4.2(33 ratings),Health & Fitness,General Health,Massage,198,English,Natural and Holistic Therapy for vitality and well-being,12/2019,01/01/20
Intro to Pulsing Massage: Using Rhythm to Relax and Expand,www.udemy.com/course/intro-to-pulsing-massage-using-rhythm-to-relax-and-expand/,Michael Hetherington,39.99,11.39,4.3(48 ratings),Health & Fitness,General Health,Massage,791,English,"A Quick and Gentle Way to Reduce Pain, Stiffness and Enhance Relaxation",4/2018,01/01/20
How to give a Fantastic Massage,www.udemy.com/course/how-to-give-a-fantastic-massage/,Engelina Boers,19.99,11.39,4.5(46 ratings),Lifestyle,Other,Massage,"1,668",English,"Learn all the basic strokes, how to apply them, a complete demonstration, and comprehensive, informative hints and tips",6/2018,01/01/20
Full Deep Tissue Massage Certified Course (hot oil),www.udemy.com/course/deep-tissue-massage-certified-course/,Shameema Modack,194.99,11.39,4.2(4 ratings),Health & Fitness,General Health,Massage,23,English,"This course will teach you to offer a professional ,Deep Tissue Massage using unique techniques with hot oil.",4/2019,01/01/20
Massage 2.0 - Intuitive Massage,www.udemy.com/course/massagehacking/,Tissione Parmar,99.99,11.39,4.2(34 ratings),Health & Fitness,General Health,Massage,"1,323",English,The Art of Intuitive Massage,10/2019,01/01/20
The Complete Postural Massage Course for Posture & Relax,www.udemy.com/course/postural-massage-course/,Celestino Breccione Mattucci,199.99,11.99,5.0(1 rating),Health & Fitness,General Health,Massage,20,English,Postural Massage is a Unique Techinique to Relax and Cure the Posture by Acupressure.,12/2019,01/01/20
Japanese Head Massage beginner -Let your client sleep !,www.udemy.com/course/keiraku-head-beginner/,Mitsutoshi Taniguchi,19.99,11.99,4.1(4 ratings),Teaching & Academics,Online Education,Massage,20,English,Learn the massage techniques of Japanese Head Massage to take your clients into total relaxation!,4/2019,01/01/20
Learn Swedish massage - using the 5 Classical methods,www.udemy.com/course/learn-swedish-massage/,Dianne Fundano,29.99,11.99,4.1(11 ratings),Health & Fitness,General Health,Massage,37,English,Learn step by step how to give the Ultimate Swedish massage,9/2018,01/01/20
Acupressure for Healing,www.udemy.com/course/acupressure-academy-be-healthy-with-chinese-massage-points-trainer/,Jakob Bargak,94.99,11.99,3.5(66 ratings),Health & Fitness,General Health,Massage,"8,096",English,"Improve how you feel physically, emotionally and mentally, as you relieve headaches, back pain, stress, allergies, aches",2/2017,01/01/20
Learn new massage technique Meyobay,www.udemy.com/course/learn-new-massage-technique-meyobay/,Melanie Lemay,29.99,11.99,4.4(42 ratings),Health & Fitness,Other,Massage,156,English,Add massage technique to your practice as a professional massage therapist.,11/2016,01/01/20
Couples Massage Workshop,www.udemy.com/course/couples-massage-workshop/,Naama Nir,49.99,11.99,3.7(12 ratings),Health & Fitness,Other,Massage,91,English,Improve your relationship by loving touch and take it to a totally new level!,4/2015,01/01/20
Lift Stronger Massage Ball Recovery - Trigger Point Release,www.udemy.com/course/lift-stronger-massage-ball-course-self-massage/,Lift Stronger,49.99,11.99,4.7(12 ratings),Health & Fitness,Fitness,Massage,624,English,Solve you physical pain with the techniques covered in this course. Start your own practise and improve your body!,5/2015,01/01/20
Trained Therapists Treatment Course Two by Brian Cavill,www.udemy.com/course/trained-therapists-treatment-course-two-by-brian-cavill/,Brian Cavill,39.99,11.99,5.0(3 ratings),Health & Fitness,Other,Massage,42,English,Exclusively for trained therapists,3/2016,01/01/20
Trained Therapists Treatment Course One by Brian Cavill,www.udemy.com/course/trained-therapists-treatment-course-one-by-brian-cavill/,Brian Cavill,34.99,11.99,3.9(15 ratings),Health & Fitness,Sports,Massage,71,English,Exclusively for trained therapists,3/2016,01/01/20
Lazy Lovers In-Bed Spooning Massage (For Couples ! ),www.udemy.com/course/lazy-lovers-in-bed-massage-for-couples-spooning/,Sexy Wellness,0.0,24.99,5.0(1 rating),Lifestyle,Other,Massage,7,"English
 ","What can you do, to Brighten the Mood Ë When your partnerâs tired and achy, But your tired too?",9/2019,01/01/20
Trained Therapists Treatment Course Three by Brian Cavill,www.udemy.com/course/trained-therapists-treatment-course-three-by-brian-cavill/,Brian Cavill,44.99,11.99,4.8(4 ratings),Health & Fitness,Other,Massage,42,English,Exclusively for trained therapists,3/2016,01/01/20
Barefoot Doctor's Superself Massage,www.udemy.com/course/barefoot-doctors-superself-massage/,Barefoot Doctor,69.99,17.50,4.7(7 ratings),Health & Fitness,General Health,Massage,66,English,"âThe most powerful, yet simple, fast-acting, enjoyable self-massage system for your superself in the entire universe so",11/2017,01/01/20
Chinese Selfmassage,www.udemy.com/course/chinese-selfmassage/,Tim Vukan,34.99,19.99,4.0(1 rating),Health & Fitness,Mental Health,Massage,13,English,Chinese Medicine Online Education by Wushan TCM,8/2018,01/01/20
The Best Relax Massage From Brazil,www.udemy.com/course/the-best-relax-massage-from-brazil/,Thiago Nishida,19.99,11.99,4.6(3 ratings),Health & Fitness,Other,Massage,18,English,"40 Movements easy, direct and really efficient (course in Portuguese with English non-automatic subs)",12/2018,01/01/20
Using Massage Upgrades to Generate Sales (2hrs CEU),www.udemy.com/course/mmpupgradesalescourse/,Jennifer Anderson,94.99,23.75,5.0(4 ratings),Business,Sales,Massage,9,English,a Maximizing Massage Profits e-course,11/2019,01/01/20
Trained Therapists Treatment Course Four by Brian Cavill,www.udemy.com/course/trained-therapists-treatment-course-four-by-brian-cavill/,Brian Cavill,44.99,11.99,4.3(2 ratings),Health & Fitness,Other,Massage,31,English,Exclusively for trained therapists,3/2016,01/01/20
Treatment Course Five for Advanced Remedial Therapists,www.udemy.com/course/trained-therapists-treatment-course-five-by-brian-cavill/,Brian Cavill,54.99,11.39,5.0(2 ratings),Health & Fitness,Other,Massage,40,English,Exclusively for trained therapists,5/2016,01/01/20
Touch For Joy - Massage Course for Couples,www.udemy.com/course/touch-for-joy-massage-course-for-couples/,Sexy Wellness,0.0,24.99,4.6(8 ratings),Health & Fitness,General Health,Massage,756,English,10 Minute All-In-One Head Massage with Ear Reflexology,3/2019,01/01/20
Remedial Massage - Super Simple Remedial Treatment,www.udemy.com/course/remedial-massage-super-simple-remedial-treatment/,Robert Murphy,19.99,11.39,4.0(31 ratings),Health & Fitness,General Health,Massage,"2,042",English,How to Give a Great Remedial Treatment With Little Effort!,3/2018,01/01/20
Learn to De-Stress Fast with Massage & Positive Self-Talk!,www.udemy.com/course/learn-to-de-stress-fast-with-massage-positive-self-talk/,Jakob Bargak,29.99,11.39,5.0(2 ratings),Personal Development,Stress Management,Massage,"2,498",English,Relieve Stress and Get Your Emotions Back On Track Naturally with Chinese Acupressure Massage and Positive Self-Talk!,6/2016,01/01/20
Chocotherapy Massage,www.udemy.com/course/chocotherapy-massage-r/,Jordi Casalta Serrano,24.99,11.39,4.0(8 ratings),Health & Fitness,General Health,Massage,39,English,"A full course in chocotherapy massage and treatment, including a facial massage with a cocoa oil.",5/2014,01/01/20
